城市,时段分类,时间段_最终,预计电价 (本地货币),本地货币清洗值（CNY）,预计电价 (约合人民币/kWh)_清洗后,电价状态
北京,峰段,10:00-15:00,1.0044 CNY,1.0044,1.0044,有效
北京,峰段,18:00-21:00,1.0044 CNY,1.0044,1.0044,有效
北京,平段,07:00-10:00,0.6950 CNY,0.695,0.695,有效
北京,平段,15:00-18:00,0.6950 CNY,0.695,0.695,有效
北京,谷段,23:00-次日07:00,0.3946 CNY,0.3946,0.3946,有效
夏威夷 (Oahu),晚高峰 (Evening Peak),17:00-21:00,~53.0 cents,3.816,3.816,有效
夏威夷 (Oahu),深夜 (Overnight),21:00-次日09:00,~35.5 cents,2.556,2.556,有效
夏威夷 (Oahu),日间 (Daytime),09:00-17:00,~18.0 cents,1.296,1.296,有效
奥斯陆,高峰 (Day),06:00-22:00,~140-260 øre,1.6,1.6,有效
奥斯陆,低谷 (Night/Weekend),22:00-次日06:00,~80-130 øre,0.84,0.84,有效
