时刻(Hour),出行概率(Driving),充电概率(Charging),停车概率(Parked)
0.0,0.0023,0.94799,0.04971
0.5,0.00315,0.94912,0.04774
1.0,0.00152,0.95164,0.04684
1.5,0.0023,0.95226,0.04544
2.0,0.00163,0.95372,0.04465
2.5,0.00124,0.95439,0.04437
3.0,0.00067,0.95535,0.04398
3.5,0.00084,0.95569,0.04347
4.0,0.00371,0.95411,0.04218
4.5,0.00871,0.94861,0.04268
5.0,0.01488,0.9412,0.04392
5.5,0.02555,0.92732,0.04712
6.0,0.03291,0.91446,0.05263
6.5,0.05594,0.88666,0.0574
7.0,0.07397,0.85779,0.06824
7.5,0.103,0.81404,0.08295
8.0,0.10396,0.78602,0.11003
8.5,0.08571,0.78034,0.13395
9.0,0.08767,0.75973,0.1526
9.5,0.08234,0.7449,0.17276
10.0,0.09239,0.71738,0.19023
10.5,0.08099,0.70666,0.21236
11.0,0.09194,0.68986,0.2182
11.5,0.09009,0.6847,0.22522
12.0,0.09857,0.67526,0.22617
12.5,0.09093,0.68385,0.22522
13.0,0.09503,0.69076,0.21421
13.5,0.09014,0.69773,0.21213
14.0,0.1002,0.69638,0.20343
14.5,0.10154,0.69773,0.20073
15.0,0.11553,0.6975,0.18697
15.5,0.11193,0.70997,0.1781
16.0,0.12283,0.71441,0.16276
16.5,0.11643,0.72878,0.15479
17.0,0.13238,0.72109,0.14653
17.5,0.12058,0.73564,0.14378
18.0,0.10385,0.74906,0.14709
18.5,0.08093,0.76574,0.15333
19.0,0.06728,0.77871,0.154
19.5,0.0474,0.80348,0.14912
20.0,0.04044,0.82393,0.13564
20.5,0.03241,0.84802,0.11957
21.0,0.03061,0.87313,0.09627
21.5,0.02539,0.89907,0.07554
22.0,0.02044,0.91783,0.06172
22.5,0.01393,0.93328,0.05279
23.0,0.00938,0.94204,0.04858
23.5,0.00517,0.94883,0.046
24.0,0.0,0.0,0.0
