Task5充电负荷,基础电网负荷,初始总负荷,优化后充电负荷,优化后总负荷,充电负荷占比(%)
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
0.0,25.9,25.9,3.48,29.38,0.0
0.0,25.9,25.9,3.48,29.38,0.0
0.0,25.9,25.9,3.48,29.38,0.0
0.0,25.9,25.9,3.48,29.38,0.0
0.0,25.9,25.9,3.48,29.38,0.0
0.0,25.9,25.9,3.48,29.38,0.0
0.0,25.9,25.9,3.48,29.38,0.0
0.0,25.9,25.9,3.48,29.38,0.0
0.0,25.9,25.9,3.48,29.38,0.0
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
1.44,25.9,27.34,1.08,26.98,5.27
