date,open,high,low,close,volume,stock_code,stock_name
2025-04-28,30.15,30.15,29.7,29.84,12460428,002460,赣锋锂业
2025-04-29,29.77,30.15,29.68,30.05,9507730,002460,赣锋锂业
2025-04-30,29.73,30.09,29.6,29.82,15030007,002460,赣锋锂业
2025-05-06,29.83,30.58,29.83,30.58,17163545,002460,赣锋锂业
2025-05-07,30.88,31.1,30.27,30.48,14740871,002460,赣锋锂业
2025-05-08,30.36,31.16,30.25,30.84,15905293,002460,赣锋锂业
2025-05-09,30.86,30.92,30.4,30.53,10102239,002460,赣锋锂业
2025-05-12,31.01,31.44,30.76,31.44,23118616,002460,赣锋锂业
2025-05-13,31.47,32.06,31.31,31.59,21440179,002460,赣锋锂业
2025-05-14,31.56,32.15,31.43,32.01,21068542,002460,赣锋锂业
2025-05-15,31.86,31.86,31.04,31.05,16364183,002460,赣锋锂业
2025-05-16,30.86,31.17,30.78,30.84,10992226,002460,赣锋锂业
2025-05-19,30.64,30.75,30.34,30.75,9945365,002460,赣锋锂业
2025-05-20,30.79,31.01,30.54,30.91,9758179,002460,赣锋锂业
2025-05-21,30.91,31.77,30.77,31.39,24648554,002460,赣锋锂业
2025-05-22,31.17,32.01,31.09,31.26,16539817,002460,赣锋锂业
2025-05-23,31.13,32.26,31.07,31.29,27678790,002460,赣锋锂业
2025-05-26,30.86,31.26,30.38,30.45,17050076,002460,赣锋锂业
2025-05-27,30.43,31.36,30.38,30.73,14722132,002460,赣锋锂业
2025-05-28,30.56,30.66,29.97,30.03,13632769,002460,赣锋锂业
2025-05-29,29.89,30.51,29.86,30.46,12422256,002460,赣锋锂业
2025-05-30,30.42,30.42,30.0,30.05,9509433,002460,赣锋锂业
2025-06-03,29.83,30.34,29.78,30.0,10783776,002460,赣锋锂业
2025-06-04,30.15,31.08,30.06,31.08,26156734,002460,赣锋锂业
2025-06-05,30.96,31.26,30.78,31.1,12111359,002460,赣锋锂业
2025-06-06,31.13,31.36,30.97,31.05,10232914,002460,赣锋锂业
2025-06-09,31.16,31.52,30.96,31.28,13288116,002460,赣锋锂业
2025-06-10,31.29,31.62,30.76,31.01,14855884,002460,赣锋锂业
2025-06-11,31.01,32.16,30.93,31.74,28837665,002460,赣锋锂业
2025-06-12,31.59,31.86,31.39,31.76,15736668,002460,赣锋锂业
2025-06-13,31.53,31.94,31.17,31.28,16844010,002460,赣锋锂业
2025-06-16,31.06,31.16,30.79,31.01,12040875,002460,赣锋锂业
2025-06-17,31.06,31.6,30.9,31.13,14637694,002460,赣锋锂业
2025-06-18,31.19,31.36,30.64,31.0,12126118,002460,赣锋锂业
2025-06-19,30.91,31.96,30.78,30.98,23077675,002460,赣锋锂业
2025-06-20,30.86,31.49,30.46,30.46,18696280,002460,赣锋锂业
2025-06-23,30.27,31.39,30.15,31.38,24555222,002460,赣锋锂业
2025-06-24,31.46,32.82,31.38,32.56,41298019,002460,赣锋锂业
2025-06-25,32.66,33.0,32.42,32.82,33884378,002460,赣锋锂业
2025-06-26,32.82,34.81,32.71,33.35,56403001,002460,赣锋锂业
2025-06-27,33.84,34.78,33.76,34.0,44529478,002460,赣锋锂业
2025-06-30,34.0,34.14,33.36,33.62,27445665,002460,赣锋锂业
2025-07-01,33.41,33.49,32.76,33.41,24553355,002460,赣锋锂业
2025-07-02,33.4,34.7,33.08,34.38,47883054,002460,赣锋锂业
2025-07-03,34.54,35.47,34.14,34.96,48024963,002460,赣锋锂业
2025-07-04,34.66,34.84,34.11,34.18,28827808,002460,赣锋锂业
2025-07-07,34.05,34.44,33.77,34.09,16565451,002460,赣锋锂业
2025-07-08,34.11,35.22,34.11,34.86,29774709,002460,赣锋锂业
2025-07-09,34.86,35.03,34.3,34.38,19528543,002460,赣锋锂业
2025-07-10,34.2,34.64,34.04,34.48,17221839,002460,赣锋锂业
2025-07-11,34.66,35.12,34.25,34.32,29710632,002460,赣锋锂业
2025-07-14,35.04,36.13,35.04,35.23,42560756,002460,赣锋锂业
2025-07-15,34.67,35.14,33.86,34.33,34074152,002460,赣锋锂业
2025-07-16,34.25,34.31,33.65,33.81,20237702,002460,赣锋锂业
2025-07-17,33.98,35.18,33.74,34.96,34706498,002460,赣锋锂业
2025-07-18,35.13,36.3,35.13,35.95,47408603,002460,赣锋锂业
2025-07-21,36.1,36.35,35.78,36.18,28705034,002460,赣锋锂业
2025-07-22,36.17,37.04,35.87,36.78,41730510,002460,赣锋锂业
2025-07-23,37.15,37.94,36.4,36.48,58383308,002460,赣锋锂业
2025-07-24,36.04,39.98,36.02,39.4,97229151,002460,赣锋锂业
2025-07-25,39.69,40.33,39.01,39.43,76955259,002460,赣锋锂业
2025-07-28,38.3,39.07,37.71,38.28,55166878,002460,赣锋锂业
2025-07-29,37.96,38.6,37.8,38.12,32597142,002460,赣锋锂业
2025-07-30,38.4,38.62,37.01,37.36,37560270,002460,赣锋锂业
2025-07-31,36.94,37.04,35.8,36.0,43550828,002460,赣锋锂业
2025-08-01,36.1,36.58,35.81,36.18,26918816,002460,赣锋锂业
2025-08-04,36.01,36.16,35.36,35.91,26685320,002460,赣锋锂业
2025-08-05,36.09,36.18,35.73,35.9,18734751,002460,赣锋锂业
2025-08-06,35.85,35.99,35.63,35.97,21447061,002460,赣锋锂业
2025-08-07,36.13,36.52,35.16,36.46,50708754,002460,赣锋锂业
2025-08-08,36.43,37.29,36.0,36.83,47761865,002460,赣锋锂业
2025-08-11,39.0,40.51,38.08,40.51,101895333,002460,赣锋锂业
2025-08-12,40.0,41.04,38.66,39.45,102618303,002460,赣锋锂业
2025-08-13,39.36,39.66,38.69,38.93,54579310,002460,赣锋锂业
2025-08-14,38.88,39.15,37.77,37.92,43564555,002460,赣锋锂业
2025-08-15,37.75,38.93,37.71,38.76,37866102,002460,赣锋锂业
2025-08-18,39.78,40.31,39.1,39.34,48751388,002460,赣锋锂业
2025-08-19,39.01,39.57,38.77,38.95,30005836,002460,赣锋锂业
2025-08-20,38.13,38.93,37.96,38.59,37514844,002460,赣锋锂业
2025-08-21,38.37,38.85,38.03,38.17,28191837,002460,赣锋锂业
2025-08-22,38.0,38.65,37.95,38.3,30499862,002460,赣锋锂业
2025-08-25,38.59,39.7,38.59,39.26,54009328,002460,赣锋锂业
2025-08-26,39.03,39.58,38.52,39.11,43152908,002460,赣锋锂业
2025-08-27,39.39,40.15,38.0,38.21,59678156,002460,赣锋锂业
2025-08-28,38.0,38.57,37.2,38.39,48220688,002460,赣锋锂业
2025-08-29,38.39,40.5,38.39,39.92,73572329,002460,赣锋锂业
2025-09-01,40.38,40.88,39.74,40.67,66304212,002460,赣锋锂业
2025-09-02,40.71,41.18,39.5,39.9,51667170,002460,赣锋锂业
