date,Open,High,Low,Close,Volume,stock_code,stock_name,日收益率,MA5_SMA,MA10_SMA,MA5_EMA,MA10_EMA,Volume_MA5,Volume_MA10
2025-04-28,5.12,5.31,5.08,5.17,78955100.0,300182,捷成股份,,5.17,5.17,5.17,5.17,78955100,78955100
2025-04-29,5.17,5.27,5.13,5.22,70371111.0,300182,捷成股份,0.967118,5.195,5.195,5.1867,5.1791,74663106,74663106
2025-04-30,5.24,5.37,5.23,5.29,72234225.0,300182,捷成股份,1.340996,5.2267,5.2267,5.2211,5.1993,73853479,73853479
2025-05-06,5.32,5.47,5.31,5.47,83185503.0,300182,捷成股份,3.402647,5.2875,5.2875,5.3041,5.2485,76186485,76186485
2025-05-07,5.52,5.56,5.34,5.41,85116549.0,300182,捷成股份,-1.096892,5.312,5.312,5.3394,5.2778,77972498,77972498
2025-05-08,5.39,5.53,5.36,5.49,77147948.0,300182,捷成股份,1.478743,5.376,5.3417,5.3896,5.3164,77611067,77835073
2025-05-09,5.46,5.47,5.32,5.35,77906300.0,300182,捷成股份,-2.550091,5.402,5.3429,5.3764,5.3225,79118105,77845248
2025-05-12,5.39,5.43,5.36,5.4,51738539.0,300182,捷成股份,0.934579,5.424,5.35,5.3843,5.3366,75018968,74581909
2025-05-13,5.47,5.49,5.36,5.37,57315830.0,300182,捷成股份,-0.555556,5.404,5.3522,5.3795,5.3427,69845033,72663456
2025-05-14,5.36,5.41,5.28,5.35,68252417.0,300182,捷成股份,-0.372439,5.392,5.352,5.3697,5.344,66472207,72222352
2025-05-15,5.34,5.34,5.21,5.23,58451100.0,300182,捷成股份,-2.242991,5.34,5.358,5.3231,5.3233,62732837,70171952
2025-05-16,5.2,5.27,5.18,5.22,40317640.0,300182,捷成股份,-0.191205,5.314,5.358,5.2887,5.3045,55215105,67166605
2025-05-19,5.2,5.27,5.14,5.24,46519899.0,300182,捷成股份,0.383142,5.282,5.353,5.2725,5.2928,54171377,64595172
2025-05-20,5.22,5.35,5.2,5.33,63905071.0,300182,捷成股份,1.717557,5.274,5.339,5.2917,5.2995,55489225,62667129
2025-05-21,5.29,5.31,5.24,5.24,42755370.0,300182,捷成股份,-1.688555,5.252,5.322,5.2744,5.2887,50389816,58431011
2025-05-22,5.22,5.32,5.17,5.26,68533448.0,300182,捷成股份,0.381679,5.258,5.299,5.2696,5.2835,52406286,57569561
2025-05-23,5.23,5.28,5.13,5.13,62970200.0,300182,捷成股份,-2.471483,5.24,5.277,5.2231,5.2556,56936798,56075951
2025-05-26,5.11,5.24,5.11,5.22,47066165.0,300182,捷成股份,1.754386,5.236,5.259,5.2221,5.2491,57046051,55608714
2025-05-27,5.2,5.23,5.14,5.2,48631806.0,300182,捷成股份,-0.383142,5.21,5.242,5.2147,5.2402,53991398,54740312
2025-05-28,5.18,5.22,5.14,5.16,44875683.0,300182,捷成股份,-0.769231,5.194,5.223,5.1965,5.2256,54415460,52402638
2025-05-29,5.16,5.29,5.12,5.29,83297625.0,300182,捷成股份,2.51938,5.2,5.229,5.2276,5.2373,57368296,54887291
2025-05-30,5.26,5.29,5.15,5.16,56010000.0,300182,捷成股份,-2.457467,5.206,5.223,5.2051,5.2233,55976256,56456527
2025-06-03,5.16,5.32,5.14,5.24,62249849.0,300182,捷成股份,1.550388,5.21,5.223,5.2167,5.2263,59012993,58029522
2025-06-04,5.24,5.29,5.23,5.27,40873100.0,300182,捷成股份,0.572519,5.224,5.217,5.2345,5.2342,57461251,55726325
2025-06-05,5.28,5.35,5.24,5.32,61933217.0,300182,捷成股份,0.948767,5.256,5.225,5.263,5.2498,60872758,57644109
2025-06-06,5.32,5.35,5.25,5.27,47687214.0,300182,捷成股份,-0.93985,5.252,5.226,5.2653,5.2535,53750676,55559486
2025-06-09,5.28,5.41,5.28,5.37,65964775.0,300182,捷成股份,1.897533,5.294,5.25,5.3002,5.2747,55741631,55858943
2025-06-10,5.36,5.39,5.24,5.38,74121649.0,300182,捷成股份,0.18622,5.322,5.266,5.3268,5.2938,58115991,58564492
2025-06-11,5.34,5.44,5.32,5.41,68055641.0,300182,捷成股份,0.557621,5.35,5.287,5.3545,5.315,63552499,60506875
2025-06-12,5.39,5.53,5.36,5.49,111372883.0,300182,捷成股份,1.478743,5.384,5.32,5.3997,5.3468,73440432,67156595
2025-06-13,5.47,5.48,5.27,5.3,102521283.0,300182,捷成股份,-3.460838,5.39,5.321,5.3665,5.3383,84407246,69078961
2025-06-16,5.27,5.58,5.27,5.48,110089499.0,300182,捷成股份,3.396226,5.412,5.353,5.4043,5.364,93232191,74486911
2025-06-17,5.49,5.51,5.38,5.41,77999738.0,300182,捷成股份,-1.277372,5.418,5.37,5.4062,5.3724,94007809,76061900
2025-06-18,5.38,5.41,5.3,5.35,56703727.0,300182,捷成股份,-1.109057,5.406,5.378,5.3875,5.3683,91737426,77644963
2025-06-19,5.34,5.42,5.26,5.36,85385399.0,300182,捷成股份,0.186916,5.38,5.382,5.3783,5.3668,86539929,79990181
2025-06-20,5.35,5.39,5.17,5.17,73838200.0,300182,捷成股份,-3.544776,5.354,5.372,5.3089,5.331,80803313,82605279
2025-06-23,5.16,5.27,5.13,5.26,50495611.0,300182,捷成股份,1.740812,5.31,5.361,5.2926,5.3181,68884535,81058363
2025-06-24,5.29,5.42,5.28,5.39,75932499.0,300182,捷成股份,2.471483,5.306,5.362,5.3251,5.3312,68471087,81239448
2025-06-25,5.4,5.45,5.34,5.45,75780100.0,300182,捷成股份,1.113173,5.326,5.366,5.3667,5.3528,72286362,82011894
2025-06-26,5.44,5.48,5.39,5.41,66563300.0,300182,捷成股份,-0.733945,5.336,5.358,5.3811,5.3632,68521942,77530936
2025-06-27,5.45,5.48,5.39,5.41,63961321.0,300182,捷成股份,0.0,5.384,5.369,5.3908,5.3717,66546566,73674939
2025-06-30,5.42,5.54,5.39,5.51,90220842.0,300182,捷成股份,1.848429,5.434,5.372,5.4305,5.3968,74491612,71688074
2025-07-01,5.5,5.51,5.41,5.45,62062900.0,300182,捷成股份,-1.088929,5.446,5.376,5.437,5.4065,71717693,70094390
2025-07-02,5.42,5.47,5.36,5.4,57540097.0,300182,捷成股份,-0.917431,5.436,5.381,5.4247,5.4053,68069692,70178027
2025-07-03,5.4,5.47,5.39,5.43,50959869.0,300182,捷成股份,0.555556,5.44,5.388,5.4264,5.4098,64949006,66735474
2025-07-04,5.42,5.45,5.35,5.39,59597316.0,300182,捷成股份,-0.736648,5.436,5.41,5.4143,5.4062,64076205,65311386
2025-07-07,5.37,5.43,5.36,5.38,41603900.0,300182,捷成股份,-0.185529,5.41,5.422,5.4029,5.4014,54352816,64422214
2025-07-08,5.37,5.47,5.35,5.47,70024050.0,300182,捷成股份,1.672862,5.414,5.43,5.4252,5.4139,55945046,63831370
2025-07-09,5.47,5.67,5.46,5.56,138110546.0,300182,捷成股份,1.645338,5.446,5.441,5.4702,5.4405,72059136,70064414
2025-07-10,5.57,5.65,5.54,5.59,85705450.0,300182,捷成股份,0.539568,5.478,5.459,5.5101,5.4677,79008252,71978629
2025-07-11,5.61,5.64,5.53,5.61,80217747.0,300182,捷成股份,0.357782,5.522,5.479,5.5434,5.4935,83132339,73604272
2025-07-14,5.59,5.61,5.49,5.5,74234047.0,300182,捷成股份,-1.960784,5.546,5.478,5.5289,5.4947,89658368,72005592
