date,Open,High,Low,Close,Volume,stock_code,stock_name,日收益率,MA5_SMA,MA10_SMA,MA5_EMA,MA10_EMA,Volume_MA5,Volume_MA10
2025-04-28,7.51,7.55,7.42,7.45,60149563.0,600733,北汽蓝谷,,7.45,7.45,7.45,7.45,60149563,60149563
2025-04-29,7.38,7.4,7.16,7.2,131033700.0,600733,北汽蓝谷,-3.355705,7.325,7.325,7.3667,7.4045,95591632,95591632
2025-04-30,7.17,7.4,7.17,7.39,98447128.0,600733,北汽蓝谷,2.638889,7.3467,7.3467,7.3744,7.4019,96543464,96543464
2025-05-06,7.45,7.58,7.44,7.55,91731121.0,600733,北汽蓝谷,2.165088,7.3975,7.3975,7.433,7.4288,95340378,95340378
2025-05-07,7.62,7.8,7.53,7.57,117024241.0,600733,北汽蓝谷,0.264901,7.432,7.432,7.4786,7.4545,99677151,99677151
2025-05-08,7.55,7.59,7.51,7.58,67716533.0,600733,北汽蓝谷,0.1321,7.458,7.4567,7.5124,7.4773,101190545,94350381
2025-05-09,7.55,7.63,7.46,7.46,70324637.0,600733,北汽蓝谷,-1.583113,7.51,7.4571,7.495,7.4742,89048732,90918132
2025-05-12,7.55,7.8,7.51,7.66,128675555.0,600733,北汽蓝谷,2.680965,7.564,7.4825,7.55,7.508,95094417,95637810
2025-05-13,7.74,7.78,7.53,7.56,85662452.0,600733,北汽蓝谷,-1.305483,7.566,7.4911,7.5533,7.5174,93880684,94529437
2025-05-14,7.58,7.58,7.46,7.55,66223379.0,600733,北汽蓝谷,-0.132275,7.562,7.497,7.5522,7.5233,83720511,91698831
2025-05-15,7.54,7.54,7.34,7.36,77751672.0,600733,北汽蓝谷,-2.516556,7.518,7.488,7.4881,7.4936,85727539,93459042
2025-05-16,7.33,7.49,7.33,7.43,54867885.0,600733,北汽蓝谷,0.951087,7.512,7.511,7.4688,7.4821,82636189,85842460
2025-05-19,7.53,7.56,7.36,7.42,53156850.0,600733,北汽蓝谷,-0.13459,7.464,7.514,7.4525,7.4708,67532448,81313432
2025-05-20,7.41,7.47,7.38,7.46,60726329.0,600733,北汽蓝谷,0.539084,7.444,7.505,7.455,7.4688,62545223,78212953
2025-05-21,7.45,7.64,7.4,7.58,118420150.0,600733,北汽蓝谷,1.608579,7.45,7.506,7.4967,7.489,72984577,78352544
2025-05-22,7.53,7.62,7.41,7.45,86278300.0,600733,北汽蓝谷,-1.71504,7.468,7.493,7.4811,7.4819,74689903,80208721
2025-05-23,7.42,7.74,7.41,7.58,189086474.0,600733,北汽蓝谷,1.744966,7.498,7.505,7.5141,7.4998,101533621,92084905
2025-05-26,7.5,7.54,7.31,7.39,122722927.0,600733,北汽蓝谷,-2.506596,7.492,7.478,7.4727,7.4798,115446836,91489642
2025-05-27,7.37,7.42,7.22,7.27,77326126.0,600733,北汽蓝谷,-1.623816,7.454,7.449,7.4051,7.4417,118766795,90656009
2025-05-28,7.25,7.33,7.17,7.2,54298009.0,600733,北汽蓝谷,-0.962861,7.378,7.414,7.3368,7.3977,105942367,89463472
2025-05-29,7.21,7.32,7.2,7.29,62477575.0,600733,北汽蓝谷,1.25,7.346,7.407,7.3212,7.3781,101182222,87936062
2025-05-30,7.25,7.28,7.18,7.23,53984026.0,600733,北汽蓝谷,-0.823045,7.276,7.387,7.2908,7.3512,74161733,87847677
2025-06-03,7.2,7.22,7.12,7.15,59257125.0,600733,北汽蓝谷,-1.106501,7.228,7.36,7.2439,7.3146,61468572,88457704
2025-06-04,7.18,7.2,7.15,7.19,37912667.0,600733,北汽蓝谷,0.559441,7.212,7.333,7.2259,7.292,53585880,86176338
2025-06-05,7.25,7.27,7.19,7.23,45387193.0,600733,北汽蓝谷,0.556328,7.218,7.298,7.2273,7.2807,51803717,78873042
2025-06-06,7.23,7.25,7.15,7.18,38489254.0,600733,北汽蓝谷,-0.691563,7.196,7.271,7.2115,7.2624,47006053,74094138
2025-06-09,7.2,7.38,7.16,7.33,98652058.0,600733,北汽蓝谷,2.089136,7.216,7.246,7.251,7.2747,55939659,65050696
2025-06-10,7.33,7.35,7.17,7.24,72752948.0,600733,北汽蓝谷,-1.227831,7.234,7.231,7.2473,7.2684,58638824,60053698
2025-06-11,7.21,7.53,7.21,7.4,121477195.0,600733,北汽蓝谷,2.209945,7.276,7.244,7.2982,7.2923,75351730,64468805
2025-06-12,7.39,7.65,7.32,7.46,133278704.0,600733,北汽蓝谷,0.810811,7.322,7.27,7.3522,7.3228,92930032,72366874
2025-06-13,7.4,7.42,7.23,7.25,78327527.0,600733,北汽蓝谷,-2.815013,7.336,7.266,7.3181,7.3096,100897686,73951870
2025-06-16,7.25,7.32,7.21,7.29,44605156.0,600733,北汽蓝谷,0.551724,7.328,7.272,7.3087,7.306,90088306,73013983
2025-06-17,7.3,7.35,7.23,7.26,39083853.0,600733,北汽蓝谷,-0.411523,7.332,7.283,7.2925,7.2976,83354487,70996656
2025-06-18,7.28,7.29,7.2,7.22,38918520.0,600733,北汽蓝谷,-0.550964,7.296,7.286,7.2683,7.2835,66842752,71097241
2025-06-19,7.22,7.25,7.12,7.12,51581400.0,600733,北汽蓝谷,-1.385042,7.228,7.275,7.2189,7.2538,50503291,71716662
2025-06-20,7.1,7.16,7.05,7.07,48099035.0,600733,北汽蓝谷,-0.702247,7.192,7.264,7.1693,7.2204,44457593,72677640
2025-06-23,7.0,7.11,6.95,7.11,42240989.0,600733,北汽蓝谷,0.565771,7.156,7.242,7.1495,7.2003,43984759,67036533
2025-06-24,7.16,7.28,7.16,7.25,64356717.0,600733,北汽蓝谷,1.969058,7.154,7.243,7.183,7.2093,49039332,66196910
2025-06-25,7.3,7.36,7.22,7.3,73831554.0,600733,北汽蓝谷,0.689655,7.17,7.233,7.222,7.2258,56021939,61432346
2025-06-26,7.28,7.31,7.23,7.24,54792979.0,600733,北汽蓝谷,-0.821918,7.194,7.211,7.228,7.2284,56664255,53583773
2025-06-27,7.3,7.34,7.23,7.26,53453736.0,600733,北汽蓝谷,0.276243,7.232,7.212,7.2387,7.2341,57735195,51096394
2025-06-30,7.28,7.39,7.25,7.37,75670170.0,600733,北汽蓝谷,1.515152,7.284,7.22,7.2824,7.2588,64421031,54202895
2025-07-01,7.33,7.41,7.3,7.35,55005289.0,600733,北汽蓝谷,-0.27137,7.304,7.229,7.305,7.2754,62550746,55795039
2025-07-02,7.37,7.54,7.32,7.33,86471300.0,600733,北汽蓝谷,-0.272109,7.31,7.24,7.3133,7.2853,65078695,60550317
2025-07-03,7.35,7.38,7.27,7.33,52086026.0,600733,北汽蓝谷,0.0,7.328,7.261,7.3189,7.2935,64537304,60600780
2025-07-04,7.36,7.55,7.3,7.38,105295548.0,600733,北汽蓝谷,0.682128,7.352,7.292,7.3392,7.3092,74905667,66320431
2025-07-07,7.38,7.43,7.32,7.43,78055267.0,600733,北汽蓝谷,0.677507,7.364,7.324,7.3695,7.3312,75382686,69901859
2025-07-08,7.42,7.54,7.37,7.49,118198163.0,600733,北汽蓝谷,0.807537,7.392,7.348,7.4097,7.36,88021261,75286003
2025-07-09,7.52,7.53,7.37,7.44,102598583.0,600733,北汽蓝谷,-0.667557,7.414,7.362,7.4198,7.3746,91246717,78162706
2025-07-10,7.4,7.42,7.32,7.36,64962207.0,600733,北汽蓝谷,-1.075269,7.42,7.374,7.3999,7.3719,93821954,79179629
2025-07-11,7.35,7.35,7.28,7.31,69512876.0,600733,北汽蓝谷,-0.679348,7.406,7.379,7.3699,7.3607,86665419,80785543
2025-07-14,7.32,7.39,7.26,7.33,70192295.0,600733,北汽蓝谷,0.273598,7.386,7.375,7.3566,7.3551,85092825,80237755
2025-07-15,7.3,7.76,7.28,7.62,276231963.0,600733,北汽蓝谷,3.956344,7.412,7.402,7.4444,7.4033,116699585,102360423
2025-07-16,7.61,7.84,7.55,7.76,187497372.0,600733,北汽蓝谷,1.83727,7.476,7.445,7.5496,7.4681,133679343,112463030
2025-07-17,7.8,7.88,7.71,7.85,159324932.0,600733,北汽蓝谷,1.159794,7.574,7.497,7.6497,7.5376,152551888,123186921
2025-07-18,7.91,8.02,7.82,8.0,165374179.0,600733,北汽蓝谷,1.910828,7.712,7.559,7.7665,7.6216,171724148,129194784
2025-07-21,8.05,8.06,7.86,7.87,121100164.0,600733,北汽蓝谷,-1.625,7.82,7.603,7.801,7.6668,181905722,133499273
2025-07-22,7.85,7.9,7.7,7.85,130180634.0,600733,北汽蓝谷,-0.25413,7.866,7.639,7.8173,7.7001,152695456,134697520
2025-07-23,7.8,8.19,7.74,7.91,171378622.0,600733,北汽蓝谷,0.764331,7.896,7.686,7.8482,7.7383,149471706,141575524
2025-07-24,7.88,8.0,7.85,7.98,99585507.0,600733,北汽蓝谷,0.884956,7.922,7.748,7.8921,7.7822,137523821,145037854
2025-07-25,7.99,8.17,7.94,7.97,114574351.0,600733,北汽蓝谷,-0.125313,7.916,7.814,7.9181,7.8164,127363856,149544002
2025-07-28,7.97,8.12,7.94,8.04,104344977.0,600733,北汽蓝谷,0.878294,7.95,7.885,7.9587,7.857,124012818,152959270
2025-07-29,8.08,8.23,8.04,8.22,135644873.0,600733,北汽蓝谷,2.238806,8.024,7.945,8.0458,7.923,125105666,138900561
2025-07-30,8.19,8.31,8.08,8.14,136611624.0,600733,北汽蓝谷,-0.973236,8.07,7.983,8.0772,7.9625,118152266,133811986
2025-07-31,8.1,8.52,8.08,8.12,192734750.0,600733,北汽蓝谷,-0.2457,8.098,8.01,8.0915,7.9911,136782115,137152968
2025-08-01,8.2,8.93,8.19,8.8,314940358.0,600733,北汽蓝谷,8.374384,8.264,8.09,8.3277,8.1382,176855316,152109586
2025-08-04,8.65,8.72,8.48,8.54,216010840.0,600733,北汽蓝谷,-2.954545,8.364,8.157,8.3984,8.2112,199188489,161600654
2025-08-05,8.55,8.82,8.54,8.75,178636160.0,600733,北汽蓝谷,2.459016,8.47,8.247,8.5156,8.3092,207786746,166446206
2025-08-06,8.85,9.23,8.78,9.08,263241167.0,600733,北汽蓝谷,3.771429,8.658,8.364,8.7037,8.4493,233112655,175632461
2025-08-07,9.0,9.08,8.88,8.99,163613252.0,600733,北汽蓝谷,-0.991189,8.832,8.465,8.7992,8.5476,227288355,182035235
2025-08-08,9.02,9.12,8.78,9.01,162346986.0,600733,北汽蓝谷,0.222469,8.874,8.569,8.8694,8.6317,196769681,186812499
2025-08-11,9.03,9.12,8.92,8.98,152822543.0,600733,北汽蓝谷,-0.332963,8.962,8.663,8.9063,8.695,184132022,191660255
2025-08-12,8.93,9.0,8.78,8.85,143315509.0,600733,北汽蓝谷,-1.447661,8.982,8.726,8.8875,8.7232,177067891,192427319
2025-08-13,8.87,8.98,8.75,8.85,135212992.0,600733,北汽蓝谷,0.0,8.936,8.797,8.875,8.7463,151462256,192287456
2025-08-14,8.85,8.98,8.62,8.62,168383623.0,600733,北汽蓝谷,-2.59887,8.862,8.847,8.79,8.7233,152416331,189852343
2025-08-15,8.59,8.96,8.57,8.92,144626816.0,600733,北汽蓝谷,3.480278,8.844,8.859,8.8333,8.7591,148872297,172820989
2025-08-18,8.96,9.68,8.9,9.43,314940358.0,600733,北汽蓝谷,5.717489,8.934,8.948,9.0322,8.8811,181295860,182713941
2025-08-19,9.36,9.46,9.15,9.2,215766441.0,600733,北汽蓝谷,-2.439024,9.004,8.993,9.0882,8.939,195786046,186426969
2025-08-20,9.16,9.38,8.97,9.35,204185479.0,600733,北汽蓝谷,1.630435,9.104,9.02,9.1754,9.0138,209580543,180521400
2025-08-21,9.3,9.45,9.16,9.2,132159640.0,600733,北汽蓝谷,-1.604278,9.22,9.041,9.1836,9.0476,202335747,177376039
2025-08-22,9.24,9.43,9.08,9.38,208732852.0,600733,北汽蓝谷,1.956522,9.312,9.078,9.2491,9.1081,215156954,182014625
2025-08-25,9.37,9.37,9.03,9.14,266549628.0,600733,北汽蓝谷,-2.558635,9.254,9.094,9.2127,9.1139,205478808,193387334
2025-08-26,9.06,9.08,8.87,8.99,190179263.0,600733,北汽蓝谷,-1.641138,9.212,9.108,9.1385,9.0913,200361372,198073709
2025-08-27,8.98,9.15,8.65,8.67,184426303.0,600733,北汽蓝谷,-3.559511,9.076,9.09,8.9823,9.0147,196409537,202995040
2025-08-28,8.68,8.78,8.41,8.72,150397400.0,600733,北汽蓝谷,0.576701,8.98,9.1,8.8949,8.9611,200057089,201196418
