指标名称,优化前数值,优化后数值,改善率_%
负荷方差_kW2,5.464575000000011,41.76877205940168,-664.36
负荷标准差_kW,2.33764304375155,6.462876453979426,-176.47
变异系数,0.0902390675063327,0.2969389623725737,-229.06
峰谷差_kW,8.640000000000008,20.159999993469164,-133.33
峰谷差率,0.42857142857142894,2.3333333325774497,-444.44
最大负荷变化率,0.1052631578947369,0.19999999999999998,-90.0
平均负荷变化率,0.022974147184266148,0.033694651841023965,-46.66
高负荷占比,0.0,0.3854166666666667,0.0
低负荷占比,0.010416666666666666,0.2916666666666667,-2700.0
累积绝对波动_kWh,13.320000000000011,12.600009734246346,5.41
平均负荷_kW,25.905000000000012,21.764999791002026,15.98
